"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"Deforestation",27,9,1,4,9,18,34
"multiple events",13,3,7,6,22,30,26
"Reforestation",3,1,2,22,17,29,28
"stable forest",5,8,0,2,154,7,17
"stable non forest",2,2,0,4,9,286,43
