"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"Deforestation",16,1,2,3,2,4,3
"Degradation",0,23,0,2,1,0,0
"multiple events",0,0,8,0,0,0,0
"Reforestation",2,0,0,26,0,0,0
"stable forest",8,3,2,14,240,1,0
"stable nonforest",0,0,0,0,0,461,0
"stable nonforest Agroforestry",0,0,0,0,0,0,178
