"","Deforestation","multiple events","perennial crop","Reforestation","stable forest","stable nonforest"
"Deforestation",23,5,34,3,17,20
"multiple events",5,15,26,5,27,29
"Reforestation",2,3,27,14,21,35
"stable forest",5,2,17,2,159,8
"stable non forest",2,1,42,2,12,287
