"","Deforestation","Degradation","multiple events ecologically possible","multiple events noise","Reforestation","stable forest","stable non forest"
"Deforestation",5,5,1,1,4,24,80
"multiple events ecologically possible",3,2,3,0,2,18,38
"multiple events noise",6,3,2,0,3,8,38
"Reforestation",2,4,1,0,13,31,69
"stable forest",10,10,0,0,1,175,31
"stable non forest",5,2,0,0,5,12,383
