Strata,AE,CI,MOE
Deforestation,1019848,326540,0.320
multiple events,1038375,352288,0.339
Reforestation,891676,325784,0.365
stable forest,8376290,627581,0.075
stable nonforest,13573387,728477,0.054
stable perennial,4835500,803588,0.166
