"","Total, ha","SE, ha"
"Deforestation",738254,155585
"Degradation",824953,167369
"multiple events",330955,102134
"Reforestation",989843,173710
"stable forest",7422129,299636
"stable non-forest",14558007,388396
"stable non-forest agroforestry",4872186,371811
