"","Deforestation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"deforested epoch 1",14,1,1,7,9,19
"deforested epoch 2 & 3",15,1,3,7,10,15
"multiple events ecologically possible",10,4,3,15,10,14
"multiple events noise",3,4,3,9,20,12
"reforested epoch 1",1,1,13,14,7,15
"reforested epoch 2 & 3",2,1,9,4,22,13
"stable forest",5,0,2,161,8,17
"stable non forest",3,1,4,9,286,43
