"","Total, ha","SE, ha"
"CEOreadable_v3Deforestation",789342,148691
"CEOreadable_v3Degradation",626518,131392
"CEOreadable_v3multiple events",169549,65958
"CEOreadable_v3Reforestation",500201,109717
"CEOreadable_v3stable forest",7433206,281008
"CEOreadable_v3stable non forest",17468103,297680
