Strata,AE,CI,MOE
Deforestation,1129498,322502,0.286
multiple events,1025867,347941,0.339
Reforestation,1105967,324959,0.294
stable forest,8441779,622676,0.074
stable nonforest,13579947,717465,0.053
stable perennial,4716942,708676,0.15
