Strata,AE,CI,MOE
Deforestation,1739757,432575,0.249
multiple events,401009,222699,0.555
Reforestation,1003499,343084,0.342
stable forest,8073750,595722,0.074
stable nonforest,13704716,732516,0.053
stable perennial,4813597,727754,0.151
