"","Total, ha","SE, ha"
"Deforestation",860706,156834
"Degradation",729675,145666
"multiple events",198067,72810
"Reforestation",674458,136205
"stable forest",7961169,307911
"stable non-forest",14382249,357058
"stable non-forest agroforestry",4930003,344738
