Strata,AE,CI,MOE
Deforestation,1127270,323981,0.287
multiple events,1032373,350300,0.339
Reforestation,1095435,337130,0.308
stable forest,8443767,625971,0.074
stable nonforest,13591269,724203,0.053
stable perennial,4709886,711845,0.151
