"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"Deforestation",5,5,1,3,19,33,36
"multiple events",7,7,5,4,23,36,25
"Reforestation",1,4,2,10,25,32,28
"stable forest",7,8,0,1,153,7,17
"stable non forest",4,1,0,4,9,285,43
