"","Deforestation Epoch1","Deforestation Epoch23","multiple events eco possible","multiple events noise","Reforestation Epoch1","Reforestation Epoch23","stable forest","stable nonforest"
"deforested epoch 1",10,4,0,1,0,1,7,28
"deforested epoch 2 & 3",5,10,1,0,0,3,7,25
"multiple events ecologically possible",4,6,4,0,0,3,15,24
"multiple events noise",1,2,4,0,0,3,9,32
"reforested epoch 1",0,1,1,0,6,7,14,22
"reforested epoch 2 & 3",2,0,1,0,1,8,4,35
"stable forest",3,2,0,0,0,2,161,25
"stable non forest",1,2,1,0,1,3,9,329
