Strata,Area,SE
Deforestation,738254,"304,947"
Degradation,824953,"328,044"
multiple events,330955,"200,183"
Reforestation,989843,"340,472"
stable forest,7422129,"587,287"
stable non-forest,14558007,"761,257"
stable perennial crop,4872186,"728,750"
