"","Deforestation Epoch1","Deforestation Epoch23","Degradation","multiple events eco possible","multiple events noise","Reforestation Epoch1","Reforestation Epoch23","stable forest","stable nonforest","stable nonforest Agroforestry"
"deforested epoch 1",4,2,5,0,1,0,1,5,12,21
"deforested epoch 2 & 3",2,2,2,0,0,0,3,5,22,15
"multiple events ecologically possible",1,2,2,4,0,0,3,12,18,14
"multiple events noise",0,2,3,4,0,0,4,6,20,12
"reforested epoch 1",0,0,0,1,0,6,7,15,7,15
"reforested epoch 2 & 3",0,0,2,1,0,0,8,2,25,13
"stable forest",3,2,8,0,0,0,2,154,7,17
"stable non forest",0,2,2,0,0,1,3,9,286,43
