"","Deforestation","multiple events","perennial crop","Reforestation","stable forest","stable nonforest"
"Deforested",23,1,22,0,9,15
"Multiple events",27,21,75,15,51,61
"Reforested",0,2,17,7,17,27
"stable forest",5,2,17,2,159,8
"stable nonforest",2,1,42,2,12,287
