Strata,AE,CI,MOE
Deforestation,1352840,317895,0.235
multiple events,1012937,344862,0.340
Reforestation,1413531,325898,0.231
stable forest,8249977,613740,0.074
stable nonforest,13220151,708188,0.054
stable perennial,4485641,698916,0.156
