"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"Deforestation",10,7,1,4,10,34,36
"multiple events",5,5,8,7,18,38,26
"Reforestation",0,2,2,21,17,32,28
"stable forest",5,8,0,2,154,7,17
"stable non forest",2,2,0,4,9,286,43
