Strata,AE,CI,MOE
Deforestation,1335334,318936,0.239
multiple events,1023283,347215,0.339
Reforestation,1201994,338350,0.281
stable forest,8296662,617742,0.074
stable nonforest,13348517,716186,0.054
stable perennial,4529286,702505,0.155
