"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"Deforestation",5,5,2,4,24,38,42
"multiple events",9,5,5,5,26,44,32
"Reforestation",2,4,1,13,31,37,32
"stable forest",10,10,0,1,175,7,24
"stable non forest",5,2,0,5,12,335,48
