"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable non forest"
"Deforestation",5,5,2,4,24,80
"multiple events ecologically possible",3,2,3,2,18,38
"multiple events noise",6,3,2,3,8,38
"Reforestation",2,4,1,13,31,69
"stable forest",10,10,0,1,175,31
"stable non forest",5,2,0,5,12,383
