"","Total, ha","SE, ha"
"Deforestation",756415,145229
"Degradation",713498,140236
"multi, 3 or less events",157099,64792
"multi, noise",12450,12450
"Reforestation",500201,109717
"stable forest",7412081,280402
"stable non-forest",17435176,297932
