Strata,AE,CI,MOE
Deforestation,1019848,326540,0.32
multiple events,1038375,352288,0.34
Reforestation,891676,325784,0.37
stable forest,8376290,627581,0.08
stable nonforest,13573387,728477,0.05
stable perennial,4835501,803588,0.17
