"","Deforestation Epoch1","Deforestation Epoch23","Degradation","multiple events eco possible","multiple events noise","Reforestation Epoch1","Reforestation Epoch23","stable forest","stable nonforest"
"deforested epoch 1",9,4,6,0,1,0,1,3,27
"deforested epoch 2 & 3",5,9,3,0,0,0,3,6,25
"multiple events ecologically possible",4,6,1,3,0,0,3,15,24
"multiple events noise",1,2,2,4,0,0,3,7,32
"reforested epoch 1",0,1,0,1,0,6,7,14,22
"reforested epoch 2 & 3",2,0,1,1,0,1,8,3,35
"stable forest",3,2,8,0,0,0,2,154,24
"stable non forest",0,2,2,0,0,1,3,9,329
