"","Total, ha","SE, ha"
"Deforestation",772060,159223
"Degradation",806285,164144
"multiple events",242441,89319
"Reforestation",613145,141394
"stable forest",8030771,324758
"stable non-forest",14424292,388508
"stable non-forest agroforestry",4847333,371345
