"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"deforested epoch 1",3,4,1,3,7,12,21
"deforested epoch 2 & 3",2,1,0,0,12,21,15
"multiple events ecologically possible",1,3,3,2,16,17,14
"multiple events noise",6,4,2,2,7,19,11
"reforested epoch 1",1,2,1,6,19,7,15
"reforested epoch 2 & 3",0,2,1,4,6,25,13
"stable forest",7,8,0,1,153,7,17
"stable non forest",4,1,0,4,9,285,43
