,Deforestation,Degradation,multiple events ecologically possible,multiple events noise,Reforestation,stable forest,stable non forest,,,commission error
Deforestation,5,5,1,1,4,24,80,,120,96%
multiple events ecologically possible,3,2,3,0,2,18,38,,66,95%
multiple events noise,6,3,2,0,3,8,38,,60,100%
Reforestation,2,4,1,0,13,31,69,,120,89%
stable forest,10,10,0,0,1,175,31,,227,23%
stable non forest,5,2,0,0,5,12,383,,407,6%
,,,,,,,,,,
,31,26,7,1,28,268,639,,,
omission error,84%,,57%,100%,54%,35%,40%,,,
