Strata,AE,CI,MOE
Deforestation,1186581,341785,0.29
multiple events,835500,311960,0.37
Reforestation,665798,280928,0.42
stable forest,8389284,625296,0.08
stable nonforest,13842832,712570,0.05
stable perennial,4815081,711641,0.15
