"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"deforested epoch 1",13,6,1,1,3,8,19
"deforested epoch 2 & 3",14,3,0,3,6,10,15
"multiple events ecologically possible",10,1,3,3,15,10,14
"multiple events noise",3,2,4,3,7,20,12
"reforested epoch 1",1,0,1,13,14,7,15
"reforested epoch 2 & 3",2,1,1,9,3,22,13
"stable forest",5,8,0,2,154,7,17
"stable non forest",2,2,0,4,9,286,43
