"","Deforestation Epoch1","Deforestation Epoch23","multiple events","perennial crop","Reforestation Epoch1","Reforestation Epoch23","stable forest","stable nonforest"
"deforested epoch 1",10,4,1,8,0,1,7,20
"deforested epoch 2 & 3",5,10,1,10,0,3,7,15
"multiple events ecologically possible",4,6,3,10,0,3,16,14
"multiple events noise",1,2,3,20,0,3,10,12
"reforested epoch 1",0,1,1,7,6,7,14,15
"reforested epoch 2 & 3",2,0,1,22,1,8,4,13
"stable forest",3,2,0,7,0,2,161,18
"stable non forest",1,2,1,286,1,3,9,43
