"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable non forest"
"Deforestation",5,5,2,4,24,80
"multiple events",9,5,5,5,26,76
"Reforestation",2,4,1,13,31,69
"stable forest",10,10,0,1,175,31
"stable non forest",5,2,0,5,12,383
