"","Deforestation","Degradation","multiple events","Reforestation","stable forest","stable nonforest","stable nonforest Agroforestry"
"Deforestation",11,7,2,5,14,39,42
"multiple events",6,5,8,8,20,46,33
"Reforestation",0,2,2,25,21,37,33
"stable forest",7,10,0,2,176,7,25
"stable non forest",2,3,0,5,12,337,48
