Strata,AE,CI,MOE
Deforestation,1114072,319674,0.287
multiple events,1012937,344862,0.340
Reforestation,1104157,322913,0.292
stable forest,8351668,616491,0.074
stable nonforest,13471049,711504,0.053
stable perennial,4681194,702682,0.150
