lon,lat,PLOTID,FinalLabel
121.2112533,17.0788151,1,
125.9365714,8.906122306,2,
120.7956927,17.42107322,3,
117.7487869,9.032784761,4,
124.0215429,11.93281599,5,
120.9487656,15.78551058,6,
124.8084671,11.07797917,7,stable nonforest
121.1985871,18.18670734,8,
121.8787914,17.77815355,9,multiple events eco possible
124.3177174,6.967917249,10,
123.6014008,9.253770321,11,
122.1240315,13.85134794,12,
121.9685331,14.7495734,13,
119.2218443,10.12962772,14,
120.4995181,15.14114903,15,
124.9558806,6.06699685,16,
120.5943802,17.9196382,17,
123.5221694,13.22935444,18,
121.2179907,18.2236281,19,stable forest
121.4096014,16.00973008,20,
124.6411109,6.715939811,21,
120.952269,18.2732151,22,
120.0535046,12.19422574,23,
121.9871282,13.22881545,24,multiple events eco possible
126.303084,6.973846129,25,
121.1088454,17.34507575,26,
125.8266176,7.894709127,27,stable forest
125.2641824,10.00539072,28,
121.2158347,17.35531654,29,
120.8517476,16.16118603,30,
122.8282208,11.35906202,31,
122.0386017,12.57798603,32,stable forest
122.9993499,7.954536925,33,
124.0889165,7.554067971,34,
123.490908,13.90470787,35,
124.9658519,7.545713639,36,
120.8495916,13.44926202,37,stable forest
122.3016284,11.15532411,38,
118.6537497,9.621630429,39,stable forest
121.7955176,16.64708477,40,
120.4876604,16.49859326,41,
125.9522021,8.23696725,42,
121.7119743,17.00497358,43,
125.63339,10.19511491,44,stable forest
123.1033748,9.662863101,45,
120.606238,13.42177358,46,
124.8556286,6.478784576,47,
121.2212246,14.64150607,48,
121.3740281,14.1768974,49,
125.583803,8.667080608,50,
121.4047505,13.92357249,51,
120.9476876,18.53273838,52,
125.0593665,12.43434542,53,
122.275218,6.968456238,54,
125.6153338,9.152709851,55,
125.4994512,9.742094509,56,
125.5463432,8.80236689,57,
124.1818922,9.769313462,58,
123.6682355,8.464151186,59,
121.9825468,18.17458008,60,
124.6163174,8.098447034,61,
121.1587019,13.052027,62,
123.0354622,10.15199577,63,
121.2271535,12.22979903,64,
120.9212772,18.50605842,65,
123.4475194,9.979249744,66,
120.8250676,14.84066257,67,
125.3024506,12.10960444,68,
122.2824943,13.95052195,69,
120.9339434,17.59974813,70,
120.4162443,15.17618333,71,
124.2492658,7.320685661,72,
125.3073015,7.05442501,73,
125.357158,7.875575012,74,
125.0068151,6.157816525,75,
122.3649597,14.09119813,76,
120.8331524,12.95851238,77,
121.2532945,13.82763242,78,
122.0671681,13.89877899,79,
125.0650259,11.78648043,80,
120.881931,13.39536311,81,
120.2947023,15.26565553,82,
126.0319725,8.231577359,83,
121.056294,14.81371311,84,
124.4912719,7.210462375,85,
126.0166113,6.982739451,86,
119.633093,10.68101364,87,
119.9308846,16.3969938,88,
121.2117923,13.12964145,89,
120.830188,13.42851094,90,
122.3172591,16.91172845,91,
121.1039945,17.18257051,92,
120.7857214,15.0382021,93,
121.7855463,16.48889145,94,
120.8237201,16.3223438,95,
122.2636297,12.56585877,96,
120.8981006,17.41783929,97,
122.9295508,8.138062738,98,
122.1612218,11.08013512,99,
120.5862954,17.52132521,100,
120.6490876,16.89097737,101,
123.8549952,12.03845787,102,
122.0509985,16.67295625,103,
125.1138044,5.978602626,104,
121.0603364,15.53730607,105,
125.1297046,7.179470498,106,
123.8107981,12.96632773,107,
121.79956,17.60513802,108,
126.2365189,7.173272123,109,stable forest
124.9825606,10.27245985,110,
124.1783887,12.41736726,111,
121.5947441,17.49949614,112,
126.0031366,6.983547935,113,
120.7137663,15.64106149,114,
120.2408033,15.54646889,115,
126.3483591,7.38590335,116,
125.4142909,12.09424325,117,
121.2220331,15.48044271,118,
121.2479046,16.2474243,119,multiple events eco possible
120.9018736,12.70842141,120,
120.6304925,15.15570174,121,
122.1175636,6.705968512,122,
117.4647396,8.754396854,123,
124.7852905,6.909436924,124,
124.2101891,9.976554798,125,
119.0302337,10.3945409,126,
123.7884301,9.746945412,127,
121.6238495,14.36931654,128,
124.386708,8.381146854,129,
125.0884719,11.67275372,130,
125.0879329,7.237142339,131,
121.9529024,13.34227267,132,
120.434031,15.74077448,133,
121.1290575,15.09533495,134,
124.8488912,10.76752141,135,
125.4746577,8.806409309,136,multiple events eco possible
121.9041239,17.75362954,137,
122.0609698,16.2075391,138,
124.1290712,7.788258766,139,
120.806203,18.3977216,140,
119.7872439,11.48195155,141,
120.930979,12.72324361,142,
124.9434838,8.411060753,143,
121.5801914,16.87804163,144,
124.4325221,12.43919632,145,
122.0590833,16.29781979,146,
125.0655649,7.713069777,147,
117.742858,8.843869056,148,
121.9467041,17.09821871,149,
122.075253,17.74311925,150,
125.0219068,10.50449469,151,
123.0103992,11.38574198,152,
123.044086,10.01670949,153,
121.1136963,13.19216419,155,stable forest
121.8952306,18.98117737,156,
125.9980162,9.906755701,157,
121.1926582,13.64356762,158,
125.3814125,8.881598298,159,
125.8608434,9.459394689,160,
125.0097795,12.47962051,161,
124.1918635,7.181626455,162,
124.5966443,8.458222305,163,
122.0779479,16.68131058,164,stable forest
121.3893893,16.24095643,165,
117.5544813,8.763829165,166,
121.6421752,16.33366257,167,
123.7132411,13.22261708,168,
120.7196952,14.00522935,170,
121.1150438,16.04314741,171,
123.0103992,13.58562628,174,
124.2937324,8.4485205,175,
119.385158,10.37109487,176,stable forest
118.6478208,9.940981513,177,
123.3227434,13.82682394,178,
122.6048098,13.94378459,179,
123.4289243,10.84028494,180,
120.8601019,18.06839921,181,
123.0955595,11.37280624,182,
125.9592089,8.298412016,183,
124.7133355,8.146147575,184,
122.1768524,16.57890264,185,
