strata name,pixel count
deforested epoch 1,16600300
deforested epoch 2 & 3,17853423
reforested epoch 1,4822662
reforested epoch 2 & 3,21821578
stable forest,82877320
stable non forest,148198299
multiple events noise,14083476
multiple events ecologically possible,24146582
